Takahiro Ohashi
Kentaro Ishii
1,2,6,0,0,0
27,8,4,0,0,0
1,2,5,0,0,0
27,8,5,0,0,0
6,7,6,0,0,0
36,3,2,0,0,0
18,7,7,0,0,0
22,3,4,0,0,0
5,6,6,0,0,0
38,3,3,0,0,0
13,6,8,0,0,0
33,6,2,0,0,0
13,6,7,0,0,0
26,7,4,0,0,0
15,7,8,0,0,0
34,4,2,0,0,0
14,4,8,0,0,0
23,4,4,0,0,0
2,3,6,0,0,0
34,4,3,0,0,0
8,9,6,0,0,0
20,1,4,0,0,0
0,1,6,0,0,0
28,9,4,0,0,0
12,3,7,0,0,0
35,5,2,0,0,0
4,5,6,0,0,0
31,7,3,0,0,0
4,5,5,0,0,0
39,4,1,0,0,0
16,5,8,0,0,0
24,5,4,0,0,0
4,5,4,0,0,0
34,5,4,0,0,0
18,6,8,0,0,0
25,6,4,0,0,0
6,7,5,0,0,0
37,8,4,0,0,0
1,2,4,0,0,0
21,2,4,0,0,0
24,2,3,0,0,1
23,4,5,0,0,0
18,2,4,0,0,0
38,4,4,0,0,0
2,3,5,0,0,0
25,6,5,0,0,0
13,5,6,0,0,0
27,8,6,0,0,0
7,8,6,0,0,0
26,7,5,0,0,0
3,4,6,0,0,0
23,4,6,0,0,0
21,4,5,0,0,1
38,6,6,0,0,0
15,7,7,0,0,0
4,2,5,0,0,1
17,2,5,0,0,0
38,7,7,1,0,0
11,7,7,0,0,0
37,8,6,0,0,0
24,2,2,1,0,0
36,2,2,0,0,0
18,5,1,1,0,0
39,5,1,0,0,0
17,2,2,1,0,0
39,6,1,0,0,0
17,2,1,1,1,0
1,5,1,0,0,1
32,6,4,0,0,1
34,6,3,0,0,0
38,5,4,0,0,1
18,7,2,0,0,1
36,4,3,0,0,1
15,5,3,0,0,1
32,5,2,1,0,0
34,5,2,0,0,0
36,5,3,0,0,0
18,5,4,0,0,0
36,5,4,0,0,0
38,7,8,0,0,1
35,6,8,0,0,1
38,5,6,1,0,0
27,5,3,0,0,1
34,6,3,0,0,0
15,5,2,0,0,1
39,7,2,0,0,0
15,6,2,0,0,0
39,6,2,0,0,0
17,2,2,1,1,0
1,5,2,0,0,0
27,5,2,1,0,0
34,5,2,0,0,0
18,4,4,0,0,1
