Tatsuya Sugai
Yoshiharu Habu
17,7,8,0,0,0
27,8,4,0,0,0
6,7,6,0,0,0
27,8,5,0,0,0
18,7,7,0,0,0
22,3,4,0,0,0
5,6,6,0,0,0
33,6,2,0,0,0
13,6,8,0,0,0
39,4,2,0,0,0
19,4,8,0,0,0
39,3,2,0,0,0
19,3,8,0,0,0
24,5,4,0,0,0
19,2,8,0,0,0
38,3,3,0,0,0
4,5,6,0,0,0
39,2,2,0,0,0
13,5,7,0,0,0
33,5,3,0,0,0
10,1,8,0,0,0
30,1,2,0,0,0
19,1,9,0,0,0
39,1,1,0,0,0
14,2,8,0,0,0
34,2,2,0,0,0
13,4,6,0,0,0
33,4,4,0,0,0
6,7,5,0,0,0
36,3,1,0,0,0
16,3,9,0,0,0
35,5,1,0,0,0
15,5,9,0,0,0
38,4,2,0,0,0
18,6,8,0,0,0
37,8,4,0,0,0
17,7,6,0,0,0
28,9,4,0,0,0
15,4,9,0,0,0
38,2,4,0,0,0
5,6,5,0,0,0
35,4,1,0,0,0
18,7,7,0,0,0
28,9,5,0,0,0
15,3,8,0,0,0
35,3,2,0,0,0
2,3,6,0,0,0
20,1,4,0,0,0
0,1,6,0,0,0
37,9,4,0,0,0
1,2,6,0,0,0
22,3,5,0,0,0
1,2,5,0,0,0
38,4,2,0,0,0
13,3,5,0,0,0
33,3,5,0,0,0
2,3,5,0,0,0
13,6,7,0,0,1
18,2,2,1,0,0
36,2,2,0,0,0
17,7,7,0,0,0
13,6,8,0,0,0
17,7,8,0,0,0
18,6,7,0,0,1
17,6,8,0,0,0
18,8,9,1,0,0
33,4,1,0,0,1
35,3,1,0,0,0
33,5,2,0,0,0
18,5,6,1,1,0
33,4,3,0,0,0
38,7,5,0,0,0
1,2,4,0,0,0
4,3,7,0,0,1
15,3,7,0,0,0
6,3,6,0,0,1
15,3,8,0,0,0
11,3,7,0,0,1
1,2,3,1,0,0
36,2,3,0,0,0
34,3,2,0,0,1
35,3,2,0,0,0
33,3,2,1,0,0
37,9,2,0,0,0
22,2,4,0,0,1
37,3,2,0,0,0
22,2,3,1,0,0
18,2,3,1,1,0
13,3,4,0,0,1
37,3,4,0,0,0
2,3,4,0,0,0
34,2,2,0,0,1
37,8,2,0,0,1
33,3,1,0,0,1
35,2,7,0,0,1
38,5,7,1,0,0
35,3,6,0,0,0
11,2,9,1,0,0
16,2,9,0,0,0
38,6,8,1,1,0
11,3,3,0,0,1
1,3,2,0,0,1
11,2,1,1,0,0
39,2,1,0,0,0
32,4,3,0,0,1
22,2,7,0,0,1
14,2,7,0,0,0
12,3,5,0,0,1
35,3,5,0,0,0
38,3,5,1,1,0
37,8,1,1,0,0
17,6,9,0,0,1
12,3,9,0,0,1
13,4,9,0,0,1
15,2,8,0,0,0
17,6,8,1,0,0
31,3,3,0,0,1
1,3,3,0,0,0
32,3,1,1,0,0
34,3,1,0,0,0
33,4,2,0,0,1
35,3,2,0,0,1
2,3,3,1,0,0
18,3,3,1,1,0
33,3,3,1,0,0
35,3,3,0,0,0
18,4,2,0,0,1
