Mirai Aoshima
Satoshi Ikenaga
6,7,6,0,0,0
27,8,4,0,0,0
4,5,6,0,0,0
33,6,2,0,0,0
17,5,8,0,0,0
39,4,2,0,0,0
19,4,8,0,0,0
20,1,4,0,0,0
0,1,6,0,0,0
27,8,5,0,0,0
18,7,7,0,0,0
35,5,2,0,0,0
19,3,8,0,0,0
34,3,2,0,0,0
13,6,8,0,0,0
39,3,1,0,0,0
19,2,8,0,0,0
22,3,4,0,0,0
4,5,5,0,0,0
23,4,4,0,0,0
13,5,7,0,0,0
26,7,4,0,0,0
10,1,8,0,0,0
33,7,3,0,0,0
19,1,9,0,0,0
33,6,4,0,0,0
13,5,6,0,0,0
38,3,3,0,0,0
14,2,8,0,0,0
35,4,3,0,0,0
3,4,6,0,0,0
39,2,2,0,0,0
16,3,9,0,0,0
21,2,4,0,0,0
2,3,6,0,0,0
34,2,3,0,0,0
17,7,8,0,0,0
36,3,2,0,0,0
5,6,6,0,0,0
24,5,4,0,0,0
4,5,4,0,0,0
35,5,4,0,0,0
5,6,5,0,0,0
33,6,5,0,0,0
13,6,5,0,0,0
35,6,5,0,0,0
2,3,5,0,0,0
22,3,5,0,0,0
24,5,4,0,0,1
4,5,2,0,0,1
17,6,8,0,0,0
25,6,4,0,0,0
3,4,5,0,0,0
27,8,6,0,0,0
7,8,6,0,0,0
5,8,8,0,0,1
18,8,8,0,0,0
13,5,7,0,0,1
17,6,7,0,0,0
13,4,6,1,0,0
18,4,4,0,0,0
13,4,5,1,1,0
18,3,3,1,0,0
32,3,3,0,0,0
11,7,7,0,0,0
18,5,6,0,0,1
17,6,8,0,0,0
20,1,5,0,0,0
11,6,5,0,0,0
25,6,5,0,0,0
27,4,6,0,0,1
13,3,6,1,1,0
38,5,5,0,0,1
37,8,3,0,0,0
33,4,5,0,0,1
18,4,5,0,0,0
27,4,5,0,0,0
20,1,6,0,0,0
5,1,5,0,0,1
20,1,7,1,0,0
14,1,7,0,0,0
13,2,7,1,1,0
14,1,6,0,0,0
13,2,6,1,1,0
23,2,7,0,0,1
13,1,6,1,1,0
10,1,6,0,0,0
33,2,5,0,0,1
13,1,7,0,0,1
2,4,6,0,0,1
17,6,5,0,0,0
3,6,4,0,0,1
17,6,4,0,0,0
0,6,3,0,0,1
17,6,7,0,0,0
14,6,4,0,0,1
38,3,3,1,0,0
36,3,3,0,0,0
32,1,4,0,0,1
39,3,2,0,0,0
18,7,2,0,0,1
37,7,3,0,0,0
18,6,1,1,0,0
39,4,3,0,0,0
32,2,2,1,0,0
34,3,4,0,0,0
20,6,5,0,0,1
