Tetsuro Itodani
Yoshiharu Habu
1,2,6,0,0,0
27,8,4,0,0,0
1,2,5,0,0,0
27,8,5,0,0,0
6,7,6,0,0,0
36,3,2,0,0,0
18,7,7,0,0,0
22,3,4,0,0,0
13,6,8,0,0,0
38,7,7,1,0,0
13,7,7,0,0,0
34,2,2,0,0,0
14,3,8,0,0,0
34,3,3,0,0,0
0,1,6,0,0,0
33,7,2,0,0,0
0,1,5,0,0,0
28,9,4,0,0,0
8,9,6,0,0,0
26,7,4,0,0,0
15,7,8,0,0,0
31,7,3,0,0,0
19,6,8,0,0,0
39,4,2,0,0,0
3,4,6,0,0,0
31,6,5,0,0,0
13,6,6,0,0,0
25,6,4,0,0,0
14,4,7,0,0,0
27,8,6,0,0,0
7,8,6,0,0,0
37,8,6,0,0,0
27,8,7,0,0,1
37,8,1,0,0,0
38,5,5,0,0,1
18,7,3,0,0,1
3,4,5,0,0,0
35,6,2,0,0,0
2,3,6,0,0,0
33,6,3,0,0,0
38,4,6,0,0,0
39,3,1,0,0,0
12,3,7,0,0,0
33,5,4,0,0,0
14,5,6,0,0,0
28,9,5,0,0,0
8,9,5,0,0,0
7,9,6,0,0,1
9,9,6,0,0,0
29,9,5,0,0,0
9,9,5,0,0,0
18,9,5,0,0,0
19,5,8,0,0,0
9,8,3,0,0,1
1,2,4,0,0,0
21,2,4,0,0,0
28,2,2,0,0,1
34,2,2,0,0,0
38,6,4,0,0,0
35,6,3,0,0,0
38,4,6,0,0,0
9,8,7,1,0,0
7,8,2,0,0,1
37,9,1,0,0,0
25,9,6,0,0,1
9,7,8,1,1,0
25,9,5,0,0,0
37,9,5,0,0,0
38,2,4,0,0,0
8,2,3,0,0,1
38,5,1,1,0,0
37,9,8,1,0,0
18,4,1,0,0,1
15,4,2,0,0,1
18,3,2,1,0,0
39,3,2,0,0,0
19,4,8,0,0,0
18,6,2,0,0,1
38,6,1,1,1,0
18,7,3,0,0,0
3,4,4,0,0,0
9,8,9,1,1,0
29,5,8,0,0,1
22,3,5,0,0,0
36,7,2,0,0,1
22,3,6,0,0,0
36,7,3,0,0,0
22,3,7,1,0,0
19,3,7,0,0,0
1,3,6,0,0,1
19,2,7,0,0,0
37,9,1,1,1,0
3,4,3,1,0,0
33,4,3,0,0,0
38,4,3,1,1,0
15,4,3,0,0,0
36,6,3,0,0,0
38,4,6,0,0,1
33,5,2,0,0,1
28,4,2,0,0,1
17,3,8,0,0,0
11,4,4,0,0,1
13,5,5,0,0,0
1,3,7,1,0,0
17,3,7,0,0,0
12,3,5,0,0,1
17,3,5,0,0,0
38,3,5,0,0,0
12,4,5,0,0,1
32,3,3,0,0,0
12,5,3,1,0,0
39,2,1,0,0,0
12,4,3,1,1,0
28,4,3,0,0,0
33,4,3,1,0,0
39,1,2,0,0,0
35,3,2,0,0,1
37,3,1,1,1,0
35,3,1,0,0,0
34,3,1,0,0,0
13,4,4,0,0,0
17,2,6,0,0,1
19,3,7,0,0,0
12,4,5,0,0,1
